numero,titolo,contenuto
1,Princípi generali dell'attività amministrativa,"1. L’attività amministrativa persegue i fini determinati dalla legge ed è retta da criteri di economicità, di
efficacia, di imparzialità, di pubblicità e di trasparenza, secondo le modalità previste dalla presente legge e
dalle altre disposizioni che disciplinano singoli procedimenti, nonché dai princípi dell'ordinamento
comunitario.
(comma così modificato dall'art. 1, comma 1, legge n. 15 del 2005 poi dall'art. 7, comma 1, legge n. 69 del
2009)
1-bis. La pubblica amministrazione, nell'adozione di atti di natura non autoritativa, agisce secondo le norme
di diritto privato salvo che la legge disponga diversamente.
(comma introdotto dall'art. 1, comma 1, lettera b), legge n. 15 del 2005)
1-ter. I soggetti privati preposti all'esercizio di attività amministrative assicurano il rispetto dei princípi di cui
al comma 1, con un livello di garanzia non inferiore a quello cui sono tenute le pubbliche amministrazioni in
forza delle disposizioni di cui alla presente legge.
(comma introdotto dall'art. 1, comma 1, lettera b), legge n. 15 del 2005, poi così modificato dall'art. 1,
comma 37, legge n. 190 del 2012)
2. La pubblica amministrazione non può aggravare il procedimento se non per straordinarie e motivate
esigenze imposte dallo svolgimento dell’istruttoria."
2,Conclusione del procedimento,"(articolo così sostituito dall'art. 7, comma 1, legge n. 69 del 2009)
1. Ove il procedimento consegua obbligatoriamente ad un’istanza, ovvero debba essere iniziato d’ufficio, le
pubbliche amministrazioni hanno il dovere di concluderlo mediante l’adozione di un provvedimento
espresso. Se ravvisano la manifesta irricevibilità, inammissibilità, improcedibilità o infondatezza della
domanda, le pubbliche amministrazioni concludono il procedimento con un provvedimento espresso
redatto in forma semplificata, la cui motivazione può consistere in un sintetico riferimento al punto di fatto
o di diritto ritenuto risolutivo.
(comma così modificato dall'art. 1, comma 38, legge n. 190 del 2012)
2. Nei casi in cui disposizioni di legge ovvero i provvedimenti di cui ai commi 3, 4 e 5 non prevedono un
termine diverso, i procedimenti amministrativi di competenza delle amministrazioni statali e degli enti
pubblici nazionali devono concludersi entro il termine di trenta giorni.
3. Con uno o più decreti del Presidente del Consiglio dei ministri, adottati ai sensi dell’articolo 17, comma 3,
della legge 23 agosto 1988, n. 400, su proposta dei Ministri competenti e di concerto con i Ministri per la
pubblica amministrazione e l’innovazione e per la semplificazione normativa, sono individuati i termini non
superiori a novanta giorni entro i quali devono concludersi i procedimenti di competenza delle
amministrazioni statali. Gli enti pubblici nazionali stabiliscono, secondo i propri ordinamenti, i termini non
superiori a novanta giorni entro i quali devono concludersi i procedimenti di propria competenza.
4. Nei casi in cui, tenendo conto della sostenibilità dei tempi sotto il profilo dell’organizzazione
amministrativa, della natura degli interessi pubblici tutelati e della particolare complessità del
procedimento, sono indispensabili termini superiori a novanta giorni per la conclusione dei procedimenti di
competenza delle amministrazioni statali e degli enti pubblici nazionali, i decreti di cui al comma 3 sono
adottati su proposta anche dei Ministri per la pubblica amministrazione e l’innovazione e per la
semplificazione normativa e previa deliberazione del Consiglio dei ministri. I termini ivi previsti non possono
comunque superare i centottanta giorni, con la sola esclusione dei procedimenti di acquisto della
cittadinanza italiana e di quelli riguardanti l’immigrazione.
5. Fatto salvo quanto previsto da specifiche disposizioni normative, le autorità di garanzia e di vigilanza
disciplinano, in conformità ai propri ordinamenti, i termini di conclusione dei procedimenti di rispettiva
competenza.
6. I termini per la conclusione del procedimento decorrono dall’inizio del procedimento d’ufficio o dal
ricevimento della domanda, se il procedimento è ad iniziativa di parte.
7. Fatto salvo quanto previsto dall’articolo 17, i termini di cui ai commi 2, 3, 4 e 5 del presente articolo
possono essere sospesi, per una sola volta e per un periodo non superiore a trenta giorni, per l’acquisizione
di informazioni o di certificazioni relative a fatti, stati o qualità non attestati in documenti già in possesso
dell’amministrazione stessa o non direttamente acquisibili presso altre pubbliche amministrazioni. Si
applicano le disposizioni dell’articolo 14, comma 2.
8. La tutela in materia di silenzio dell'amministrazione è disciplinata dal codice del processo amministrativo.
Le sentenze passate in giudicato che accolgono il ricorso proposto avverso il silenzio inadempimento
dell'amministrazione sono trasmesse, in via telematica, alla Corte dei conti.
(comma così sostituito dall'art. 1, comma 1, legge n. 35 del 2012)
9. La mancata o tardiva emanazione del provvedimento nei termini costituisce elemento di valutazione
della performance individuale, nonché di responsabilità disciplinare e amministrativo-contabile del
dirigente e del funzionario inadempiente.
(comma così sostituito dall'art. 1, comma 1, legge n. 35 del 2012)
9-bis. L'organo di governo individua, nell'ambito delle figure apicali dell'amministrazione, il soggetto cui
attribuire il potere sostitutivo in caso di inerzia. Nell'ipotesi di omessa individuazione il potere sostitutivo si
considera attribuito al dirigente generale o, in mancanza, al dirigente preposto all'ufficio o in mancanza al
funzionario di più elevato livello presente nell'amministrazione. Per ciascun procedimento, sul sito internet
istituzionale dell’amministrazione è pubblicata, in formato tabellare e con collegamento ben visibile nella
homepage, l’indicazione del soggetto a cui è attribuito il potere sostitutivo e a cui l’interessato può
rivolgersi ai sensi e per gli effetti del comma 9-ter. Tale soggetto, in caso di ritardo, comunica senza indugio
il nominativo del responsabile, ai fini della valutazione dell’avvio del procedimento disciplinare, secondo le
disposizioni del proprio ordinamento e dei contratti collettivi nazionali di lavoro, e, in caso di mancata
ottemperanza alle disposizioni del presente comma, assume la sua medesima responsabilità oltre a quella
propria.
(comma introdotto dall'art. 1, comma 1, legge n. 35 del 2012, poi così modificato dall'art. 13, comma 01,
legge n. 134 del 2012)
9-ter. Decorso inutilmente il termine per la conclusione del procedimento o quello superiore di cui al
comma 7, il privato può rivolgersi al responsabile di cui al comma 9-bis perché, entro un termine pari alla
metà di quello originariamente previsto, concluda il procedimento attraverso le strutture competenti o con
la nomina di un commissario.
(comma introdotto dall'art. 1, comma 1, legge n. 35 del 2012)
9-quater. Il responsabile individuato ai sensi del comma 9-bis, entro il 30 gennaio di ogni anno, comunica
all'organo di governo, i procedimenti, suddivisi per tipologia e strutture amministrative competenti, nei
quali non è stato rispettato il termine di conclusione previsti dalla legge o dai regolamenti. Le
Amministrazioni provvedono all'attuazione del presente comma, con le risorse umane, strumentali e
finanziarie disponibili a legislazione vigente, senza nuovi o maggiori oneri a carico della finanza pubblica.
(comma introdotto dall'art. 1, comma 1, legge n. 35 del 2012)
9-quinquies. Nei provvedimenti rilasciati in ritardo su istanza di parte è espressamente indicato il termine
previsto dalla legge o dai regolamenti di cui all'articolo 2 e quello effettivamente impiegato.
(comma introdotto dall'art. 1, comma 1, legge n. 35 del 2012)"
2-bis,Conseguenze per il ritardo dell’amministrazione nella conclusione del procedimento,"(articolo introdotto dall'art. 7, comma 1, legge n. 69 del 2009)
1. Le pubbliche amministrazioni e i soggetti di cui all’articolo 1, comma 1-ter, sono tenuti al risarcimento del
danno ingiusto cagionato in conseguenza dell’inosservanza dolosa o colposa del termine di conclusione del
procedimento.
1-bis. Fatto salvo quanto previsto dal comma 1 e ad esclusione delle ipotesi di silenzio qualificato e dei
concorsi pubblici, in caso di inosservanza del termine di conclusione del procedimento ad istanza di parte,
per il quale sussiste l'obbligo di pronunziarsi, l'istante ha diritto di ottenere un indennizzo per il mero
ritardo alle condizioni e con le modalità stabilite dalla legge o, sulla base della legge, da un regolamento
emanato ai sensi dell'articolo 17, comma 2, della legge 23 agosto 1988, n. 400. In tal caso le somme
corrisposte o da corrispondere a titolo di indennizzo sono detratte dal risarcimento.
(comma introdotto dall'art. 28, comma 9, legge n. 98 del 2013)
2. (comma abrogato dall'Allegato 4, articolo 4, del d.lgs. n. 104 del 2010)"
3,Motivazione del provvedimento,"1. Ogni provvedimento amministrativo, compresi quelli concernenti l’organizzazione amministrativa, lo
svolgimento dei pubblici concorsi ed il personale, deve essere motivato, salvo che nelle ipotesi previste dal
comma 2. La motivazione deve indicare i presupposti di fatto e le ragioni giuridiche che hanno determinato
la decisione dell’amministrazione, in relazione alle risultanze dell’istruttoria.
2. La motivazione non è richiesta per gli atti normativi e per quelli a contenuto generale.
3. Se le ragioni della decisione risultano da altro atto dell’amministrazione richiamato dalla decisione
stessa, insieme alla comunicazione di quest’ultima deve essere indicato e reso disponibile, a norma della
presente legge, anche l’atto cui essa si richiama.
4. In ogni atto notificato al destinatario devono essere indicati il termine e l’autorità cui è possibile
ricorrere."
3-bis,Uso della telematica,"(introdotto dall'art. 3 della legge n. 15 del 2005)
1. Per conseguire maggiore efficienza nella loro attività, le amministrazioni pubbliche incentivano l'uso della
telematica, nei rapporti interni, tra le diverse amministrazioni e tra queste e i privati."
4,Unità organizzativa responsabile del procedimento,"1. Ove non sia già direttamente stabilito per legge o per regolamento, le pubbliche amministrazioni sono
tenute a determinare per ciascun tipo di procedimento relativo ad atti di loro competenza l’unità
organizzativa responsabile della istruttoria e di ogni altro adempimento procedimentale, nonché
dell’adozione del provvedimento finale.
2. Le disposizioni adottate ai sensi del comma 1 sono rese pubbliche secondo quanto previsto dai singoli
ordinamenti."
5,Responsabile del procedimento,"1. Il dirigente di ciascuna unità organizzativa provvede ad assegnare a sé o ad altro dipendente addetto
all’unità la responsabilità della istruttoria e di ogni altro adempimento inerente il singolo procedimento
nonché, eventualmente, dell’adozione del provvedimento finale.
2. Fino a quando non sia effettuata l’assegnazione di cui al comma 1, è considerato responsabile del singolo
procedimento il funzionario preposto alla unità organizzativa determinata a norma del comma 1
dell’articolo 4.
3. L’unità organizzativa competente e il nominativo del responsabile del procedimento sono comunicati ai
soggetti di cui all’articolo 7 e, a richiesta, a chiunque vi abbia interesse."
6,Compiti del responsabile del procedimento,"1. Il responsabile del procedimento:
a) valuta, ai fini istruttori, le condizioni di ammissibilità, i requisiti di legittimazione ed i presupposti che
siano rilevanti per l’emanazione di provvedimento;
b) accerta di ufficio i fatti, disponendo il compimento degli atti all’uopo necessari, e adotta ogni misura per
l’adeguato e sollecito svolgimento dell’istruttoria. In particolare, può chiedere il rilascio di dichiarazioni e la
rettifica di dichiarazioni o istanze erronee o incomplete e può esperire accertamenti tecnici ed ispezioni ed
ordinare esibizioni documentali;
c) propone l’indizione o, avendone la competenza, indice le conferenze di servizi di cui all’articolo 14;
d) cura le comunicazioni, le pubblicazioni e le notificazioni previste dalle leggi e dai regolamenti;
e) adotta, ove ne abbia la competenza, il provvedimento finale, ovvero trasmette gli atti all’organo
competente per l’adozione. L'organo competente per l'adozione del provvedimento finale, ove diverso dal
responsabile del procedimento, non può discostarsi dalle risultanze dell'istruttoria condotta dal
responsabile del procedimento se non indicandone la motivazione nel provvedimento finale.
(lettera così modificata dall'art. 4 della legge n. 15 del 2005)"
6-bis,Conflitto di interessi,"(introdotto dall'art. 1, comma 41, legge n. 190 del 2012)
1. Il responsabile del procedimento e i titolari degli uffici competenti ad adottare i pareri, le valutazioni
tecniche, gli atti endoprocedimentali e il provvedimento finale devono astenersi in caso di conflitto di
interessi, segnalando ogni situazione di conflitto, anche potenziale."
7,Comunicazione di avvio del procedimento,"1. Ove non sussistano ragioni di impedimento derivanti da particolari esigenze di celerità del procedimento,
l’avvio del procedimento stesso è comunicato, con le modalità previste dall’articolo 8, ai soggetti nei
confronti dei quali il provvedimento finale è destinato a produrre effetti diretti ed a quelli che per legge
debbono intervenirvi. Ove parimenti non sussistano le ragioni di impedimento predette, qualora da un
provvedimento possa derivare un pregiudizio a soggetti individuati o facilmente individuabili, diversi dai
suoi diretti destinatari, l’amministrazione è tenuta a fornire loro, con le stesse modalità, notizia dell’inizio
del procedimento.
2. Nelle ipotesi di cui al comma 1 resta salva la facoltà dell’amministrazione di adottare, anche prima della
effettuazione delle comunicazioni di cui al medesimo comma 1, provvedimenti cautelari."
8,Modalità e contenuti della comunicazione di avvio del procedimento,"1. L’amministrazione provvede a dare notizia dell’avvio del procedimento mediante comunicazione
personale.
2. Nella comunicazione debbono essere indicati:
a) l’amministrazione competente;
b) l’oggetto del procedimento promosso;
c) l’ufficio e la persona responsabile del procedimento;
c-bis) la data entro la quale, secondo i termini previsti dall'articolo 2, commi 2 o 3, deve concludersi il
procedimento e i rimedi esperibili in caso di inerzia dell'amministrazione;
(lettera introdotta dall'art. 5 della legge n. 15 del 2005)
c-ter) nei procedimenti ad iniziativa di parte, la data di presentazione della relativa istanza;
(lettera introdotta dall'art. 5 della legge n. 15 del 2005)
d) l’ufficio in cui si può prendere visione degli atti.
3. Qualora per il numero dei destinatari la comunicazione personale non sia possibile o risulti
particolarmente gravosa, l’amministrazione provvede a rendere noti gli elementi di cui al comma 2
mediante forme di pubblicità idonee di volta in volta stabilite dall’amministrazione medesima.
4. L’omissione di taluna delle comunicazioni prescritte può esser fatta valere solo dal soggetto nel cui
interesse la comunicazione è prevista."
9,Intervento nel procedimento,"1. Qualunque soggetto, portatore di interessi pubblici o privati, nonché i portatori di interessi diffusi
costituiti in associazioni o comitati, cui possa derivare un pregiudizio dal provvedimento, hanno facoltà di
intervenire nel procedimento."
10,Diritti dei partecipanti al procedimento,"1. I soggetti di cui all’articolo 7 e quelli intervenuti ai sensi dell’articolo 9 hanno diritto:
a) di prendere visione degli atti del procedimento, salvo quanto previsto dall’articolo 24;
b) di presentare memorie scritte e documenti, che l’amministrazione ha l’obbligo di valutare ove siano
pertinenti all’oggetto del procedimento."
