execution_index,run_id,pair_id,pair_order,order_in_pair,claim_id,claim_title,claim_text,domain,replicate,condition,enable_causality
1,C3_R1_B_0001,C3_R1,BA,1,C3,Responsabilità condominiale per infiltrazioni,"Un condomino subisce infiltrazioni nel proprio appartamento con danni a soffitto, pareti e arredi per circa 8.500 euro. Le perizie attribuiscono la causa alla terrazza condominiale di copertura, mal impermeabilizzata. Il condominio eccepisce che la manutenzione straordinaria era stata deliberata ma non eseguita per morosità di alcuni condomini. Il danneggiato chiede risarcimento integrale; l’amministratore sostiene che dovrebbero rispondere i soli morosi. Si chiede di verificare la responsabilità del condominio quale custode, il rapporto con le posizioni individuali dei condomini e l’eventuale riparto del danno.",CIVILE,1,B,true
2,C3_R1_A_0002,C3_R1,BA,2,C3,Responsabilità condominiale per infiltrazioni,"Un condomino subisce infiltrazioni nel proprio appartamento con danni a soffitto, pareti e arredi per circa 8.500 euro. Le perizie attribuiscono la causa alla terrazza condominiale di copertura, mal impermeabilizzata. Il condominio eccepisce che la manutenzione straordinaria era stata deliberata ma non eseguita per morosità di alcuni condomini. Il danneggiato chiede risarcimento integrale; l’amministratore sostiene che dovrebbero rispondere i soli morosi. Si chiede di verificare la responsabilità del condominio quale custode, il rapporto con le posizioni individuali dei condomini e l’eventuale riparto del danno.",CIVILE,1,A,false
3,C5_R1_A_0003,C5_R1,AB,1,C5,Clausola penale e riduzione equitativa,"Una società di logistica stipula un contratto di fornitura con termine essenziale, prevedendo una clausola penale di 8.000 euro per ogni giorno di ritardo. Il fornitore consegna con 12 giorni di ritardo, ma il committente continua ad accettare le forniture e chiede l’integrale pagamento della penale (96.000 euro), oltre al risarcimento di ulteriori danni commerciali. Il fornitore sostiene che la penale è manifestamente eccessiva e che l’inadempimento è stato solo parziale. Si chiede di verificare i limiti di cumulabilità tra penale e risarcimento e la possibilità di riduzione equitativa.",CIVILE,1,A,false
4,C5_R1_B_0004,C5_R1,AB,2,C5,Clausola penale e riduzione equitativa,"Una società di logistica stipula un contratto di fornitura con termine essenziale, prevedendo una clausola penale di 8.000 euro per ogni giorno di ritardo. Il fornitore consegna con 12 giorni di ritardo, ma il committente continua ad accettare le forniture e chiede l’integrale pagamento della penale (96.000 euro), oltre al risarcimento di ulteriori danni commerciali. Il fornitore sostiene che la penale è manifestamente eccessiva e che l’inadempimento è stato solo parziale. Si chiede di verificare i limiti di cumulabilità tra penale e risarcimento e la possibilità di riduzione equitativa.",CIVILE,1,B,true
5,C4_R1_B_0005,C4_R1,BA,1,C4,Caparra confirmatoria e doppio della caparra,"Un promissario acquirente versa una caparra confirmatoria per l’acquisto di un immobile. Prima del rogito, il promittente venditore comunica che non intende più vendere perché ha ricevuto un’offerta migliore. L’acquirente intende recedere e chiedere il doppio della caparra, oltre ai danni ulteriori per spese notarili e tecniche già sostenute. Il venditore afferma che si tratti di mero ripensamento non imputabile e che la caparra debba essere semplicemente restituita. Si chiede di valutare i rimedi esperibili e la cumulabilità con eventuali ulteriori voci risarcitorie.",CIVILE,1,B,true
6,C4_R1_A_0006,C4_R1,BA,2,C4,Caparra confirmatoria e doppio della caparra,"Un promissario acquirente versa una caparra confirmatoria per l’acquisto di un immobile. Prima del rogito, il promittente venditore comunica che non intende più vendere perché ha ricevuto un’offerta migliore. L’acquirente intende recedere e chiedere il doppio della caparra, oltre ai danni ulteriori per spese notarili e tecniche già sostenute. Il venditore afferma che si tratti di mero ripensamento non imputabile e che la caparra debba essere semplicemente restituita. Si chiede di valutare i rimedi esperibili e la cumulabilità con eventuali ulteriori voci risarcitorie.",CIVILE,1,A,false
7,C2_R1_A_0007,C2_R1,AB,1,C2,"Inadempimento contrattuale, eccezione di inadempimento e risoluzione","Un contratto a prestazioni corrispettive prevedeva esecuzione entro termine essenziale. La parte debitrice ha eseguito con grave ritardo e in modo solo parziale, causando un rilevante pregiudizio economico all’altra parte. Il contraente adempiente ha sospeso il pagamento del corrispettivo, comunicando la volontà di risolvere il contratto e chiedendo il risarcimento, inclusa la perdita di opportunità economiche. La controparte sostiene che il ritardo non sia imputabile e che il danno dedotto sia indiretto e non risarcibile. Si chiede di verificare legittimità della risoluzione, correttezza della sospensione del pagamento e limiti risarcitori.",CIVILE,1,A,false
8,C2_R1_B_0008,C2_R1,AB,2,C2,"Inadempimento contrattuale, eccezione di inadempimento e risoluzione","Un contratto a prestazioni corrispettive prevedeva esecuzione entro termine essenziale. La parte debitrice ha eseguito con grave ritardo e in modo solo parziale, causando un rilevante pregiudizio economico all’altra parte. Il contraente adempiente ha sospeso il pagamento del corrispettivo, comunicando la volontà di risolvere il contratto e chiedendo il risarcimento, inclusa la perdita di opportunità economiche. La controparte sostiene che il ritardo non sia imputabile e che il danno dedotto sia indiretto e non risarcibile. Si chiede di verificare legittimità della risoluzione, correttezza della sospensione del pagamento e limiti risarcitori.",CIVILE,1,B,true
9,C4_R2_A_0009,C4_R2,AB,1,C4,Caparra confirmatoria e doppio della caparra,"Un promissario acquirente versa una caparra confirmatoria per l’acquisto di un immobile. Prima del rogito, il promittente venditore comunica che non intende più vendere perché ha ricevuto un’offerta migliore. L’acquirente intende recedere e chiedere il doppio della caparra, oltre ai danni ulteriori per spese notarili e tecniche già sostenute. Il venditore afferma che si tratti di mero ripensamento non imputabile e che la caparra debba essere semplicemente restituita. Si chiede di valutare i rimedi esperibili e la cumulabilità con eventuali ulteriori voci risarcitorie.",CIVILE,2,A,false
10,C4_R2_B_0010,C4_R2,AB,2,C4,Caparra confirmatoria e doppio della caparra,"Un promissario acquirente versa una caparra confirmatoria per l’acquisto di un immobile. Prima del rogito, il promittente venditore comunica che non intende più vendere perché ha ricevuto un’offerta migliore. L’acquirente intende recedere e chiedere il doppio della caparra, oltre ai danni ulteriori per spese notarili e tecniche già sostenute. Il venditore afferma che si tratti di mero ripensamento non imputabile e che la caparra debba essere semplicemente restituita. Si chiede di valutare i rimedi esperibili e la cumulabilità con eventuali ulteriori voci risarcitorie.",CIVILE,2,B,true
